"","site","date","Depth_ft","DO_mg.L","pH","Specific_Conductivity_uS.cm","Temperature_C"
"22","legacy",2023-04-22,0.924131697434549,10.1822969218095,8.49720543622971,207.986477533976,6.76293302079042
"23","legacy",2023-04-23,0.906437482509409,10.0331904192766,8.54783793290456,220.110812822978,7.93224462370078
"24","legacy",2023-04-24,0.911532413822922,9.19283989071846,8.53119212388992,222.741768519084,10.7245505452156
"25","legacy",2023-04-25,1.06038523505866,8.90903563797474,8.43141382932663,184.754299163818,11.3680199682713
"26","legacy",2023-04-26,1.09350273345827,9.34306836128235,8.46735606590907,185.185797691345,10.4804264704386
"27","legacy",2023-04-27,1.0799425316725,8.78684494892756,8.42697010437647,178.867495854696,12.2822720607122
"28","legacy",2023-04-28,1.11781027019738,9.07104420661926,8.40245107809702,159.84449450175,11.3262385725975
"29","legacy",2023-04-29,1.11388580853486,9.03882047865126,8.13946749405427,174.468432617187,11.9003990491231
"30","legacy",2023-04-30,1.17702777600757,8.6748653948307,8.09106468160947,172.685893535614,13.2027812004089
"31","legacy",2023-05-01,1.23419994712508,8.67520404358705,7.92127458469288,147.967750318123,12.879672139883
"32","legacy",2023-05-02,1.02705212934304,8.63413518667221,7.80521165820914,134.613731125654,12.7260814209779
"33","legacy",2023-05-03,0.854880426838368,8.49644810503179,7.75733835403233,138.872428894043,13.4720932046572
"34","legacy",2023-05-04,1.42060289094265,8.69011803747902,7.69049896597862,126.262922583686,12.1113864050971
"35","legacy",2023-05-05,2.03181875690764,9.50845176908705,7.53358467145898,90.8962125142415,9.30665487785862
"36","legacy",2023-05-06,2.48678602537014,9.57908519576578,7.54253840446472,88.2894254525502,9.73024874467116
"37","legacy",2023-05-07,2.17829243979624,9.44920372962952,7.57133261362712,89.3582339185349,9.76666080951691
"38","legacy",2023-05-08,2.39380607963591,9.59071150422096,7.67478122313817,87.1412483851115,9.47917314370473
"39","legacy",2023-05-09,2.39397479803892,9.49071550369263,7.61622807036999,85.0877972443898,9.8590827335914
"40","legacy",2023-05-10,2.35084804343791,9.27092910806338,7.56614382723544,82.4074788888295,10.5099504987399
"41","legacy",2023-05-11,1.63711787535276,9.51858030756315,7.57137801249822,86.5149445533752,8.97936680912971
"42","legacy",2023-05-12,1.56824148621817,9.58609383304914,7.59768281877041,98.4268806775411,8.86968593299389
"43","legacy",2023-05-13,1.22505865378867,9.31418184439341,7.65703924993674,109.865895589193,10.2291860282421
"44","legacy",2023-05-14,1.1786339877461,9.18895922104518,7.65215455989043,112.055737257004,10.502190242211
"45","legacy",2023-05-15,1.99103824682642,9.53042364739752,7.56764028598736,90.2929186139788,9.75767647136341
"46","legacy",2023-05-16,2.13646096867345,9.05103576183319,7.53143072128296,60.1506314277649,12.1987156867981
"47","legacy",2023-05-17,2.85069597694014,9.40923076868057,7.62026916391709,65.5369716882706,10.7954448759556
"48","legacy",2023-05-18,3.00124326763234,9.47040371184653,7.68306651711464,64.2208204154509,10.8254546324412
"49","legacy",2023-05-19,3.314218013742,9.75957566119255,7.67237445215384,63.8642447055914,9.93335539102554
"50","legacy",2023-05-20,3.22575119029355,9.85993504157433,7.73602810005347,63.1289974975586,10.1693884034952
"51","legacy",2023-05-21,3.32318513547111,9.62344247102737,7.69244464238485,68.7102827112725,10.7541213035583
"52","legacy",2023-05-22,3.34724071902252,9.38857041796049,7.660793825984,62.1987534761429,11.1716033418973
"53","legacy",2023-05-23,3.23767346818523,9.39191798541857,7.62574607767957,57.5703769922256,11.4139372607072
"54","legacy",2023-05-24,3.11011582382902,9.34395049413045,7.59400210281213,56.2296055952708,11.4564352929592
"55","legacy",2023-05-25,3.12500140633517,9.60242113314177,7.58879467844963,47.7105928708429,10.736885458231
"56","legacy",2023-05-26,3.26520457881649,9.32992656334587,7.54396745722781,46.8112777709961,11.4444551765919
"57","legacy",2023-05-27,3.35612629662791,9.62864767236912,7.58130750060081,46.0133943250102,10.6705621381601
"58","legacy",2023-05-28,3.31843389758888,9.43858691056569,7.54159790774186,43.6122885204497,11.1883112589518
"59","legacy",2023-05-29,3.14921835456632,9.31358989254459,7.59749676287174,43.3636859854062,11.610127578179
