"","site","hour","Depth_ft","DO_mg.L","pH","Specific_Conductivity_uS.cm","Temperature_C"
"6584","lincoln",2023-08-19 06:00:00,NA,7.77374839782715,7.68694663047791,126.690956115723,16.0846900939941
"6585","lincoln",2023-08-19 07:00:00,NA,7.86759626865387,7.6705549955368,124.387529373169,15.7412431240082
"6586","lincoln",2023-08-19 08:00:00,NA,7.8901778459549,7.66008579730988,124.868225097656,15.6126127243042
"6587","lincoln",2023-08-19 09:00:00,NA,7.90646922588348,7.65924000740051,125.339561462402,15.5211894512177
"6588","lincoln",2023-08-19 10:00:00,NA,7.94468629360199,7.65441870689392,125.292802810669,15.3809554576874
"6589","lincoln",2023-08-19 11:00:00,NA,7.98558962345123,7.65812027454376,125.592613220215,15.1833844184875
"6590","lincoln",2023-08-19 12:00:00,NA,8.05130290985107,7.66620397567749,126.099710464478,15.0166685581207
"6591","lincoln",2023-08-19 13:00:00,NA,8.25729131698608,7.71183383464813,126.367275238037,14.9273953437805
"6592","lincoln",2023-08-19 14:00:00,NA,8.57825756072998,7.81008017063141,126.202890396118,14.9620141983032
"6593","lincoln",2023-08-19 15:00:00,NA,8.91372680664062,8.00382483005524,125.513637542725,15.2121088504791
"6594","lincoln",2023-08-19 16:00:00,NA,9.15789890289307,8.25148892402649,123.485607147217,15.8307950496674
"6595","lincoln",2023-08-19 17:00:00,NA,9.29720258712769,8.58161163330078,119.527082443237,16.7759432792664
"6596","lincoln",2023-08-19 18:00:00,NA,9.27284717559814,8.76947259902954,116.8203125,17.7726969718933
"6597","lincoln",2023-08-19 19:00:00,NA,9.18367671966553,8.87042808532715,116.174383163452,18.6731853485107
"6598","lincoln",2023-08-19 20:00:00,NA,8.90913057327271,8.8954930305481,115.908054351807,19.1500749588013
"6599","lincoln",2023-08-19 21:00:00,NA,8.28905320167542,8.69813632965088,116.164878845215,19.0346965789795
"6600","lincoln",2023-08-19 22:00:00,NA,8.33908748626709,8.59684181213379,117.02321434021,18.9159574508667
"6601","lincoln",2023-08-19 23:00:00,NA,8.43530535697937,8.54144692420959,118.052442550659,18.869975566864
"6602","lincoln",2023-08-20 00:00:00,NA,8.12205815315247,8.3446261882782,118.663928985596,18.8107075691223
"6603","lincoln",2023-08-20 01:00:00,NA,7.80984461307526,8.15278387069702,118.898931503296,18.86487865448
"6604","lincoln",2023-08-20 02:00:00,NA,7.62800145149231,7.92667877674103,119.632381439209,18.5779452323914
"6605","lincoln",2023-08-20 03:00:00,NA,7.54997432231903,7.77425563335419,120.257345199585,18.1917490959167
"6606","lincoln",2023-08-20 04:00:00,NA,7.57279121875763,7.72446465492249,120.212184906006,17.80903673172
"6607","lincoln",2023-08-20 05:00:00,NA,7.64931559562683,7.70417606830597,120.610639572144,17.3663454055786
"6608","lincoln",2023-08-20 06:00:00,NA,7.73801696300507,7.69925773143768,120.892288208008,16.9111166000366
"6609","lincoln",2023-08-20 07:00:00,NA,7.82984972000122,7.68351292610168,121.462411880493,16.4820795059204
"6610","lincoln",2023-08-20 08:00:00,NA,7.91403818130493,7.6806366443634,121.881786346436,16.0914225578308
"6611","lincoln",2023-08-20 09:00:00,NA,7.99044716358185,7.67842125892639,121.888433456421,15.7143397331238
"6612","lincoln",2023-08-20 10:00:00,NA,8.06054282188416,7.67874467372894,121.302719116211,15.3946721553802
"6613","lincoln",2023-08-20 11:00:00,NA,8.11973404884338,7.68475317955017,121.242792129517,15.10205078125
"6614","lincoln",2023-08-20 12:00:00,NA,8.19633340835571,7.68480896949768,121.105215072632,14.8068015575409
"6615","lincoln",2023-08-20 13:00:00,NA,8.39743161201477,7.72491931915283,121.182439804077,14.5925648212433
"6616","lincoln",2023-08-20 14:00:00,NA,8.747642993927,7.82733154296875,121.060567855835,14.5712435245514
"6617","lincoln",2023-08-20 15:00:00,NA,9.08609843254089,7.98575480779012,120.30775642395,14.7272362709045
"6618","lincoln",2023-08-20 16:00:00,NA,9.27100419998169,8.30196889241537,116.447671890259,15.0544698238373
"6619","lincoln",2023-08-20 17:00:00,NA,9.38636422157288,8.51313138008118,114.436435699463,15.7483823299408
"6620","lincoln",2023-08-20 18:00:00,NA,9.44184732437134,8.71748161315918,115.507328033447,16.7854151725769
"6621","lincoln",2023-08-20 19:00:00,NA,9.33609962463379,8.86819362640381,114.922811508179,17.847071647644
