site,date,Date,h_m
MW1,2020-07-04,2020-07-04,2748.1615833333335
MW1,2020-07-05,2020-07-05,2748.1635
MW1,2020-07-06,2020-07-06,2748.1530000000002
MW1,2020-07-07,2020-07-07,2748.1438541666666
MW1,2020-07-08,2020-07-08,2748.132666666667
MW1,2020-07-09,2020-07-09,2748.1200208333335
MW1,2020-07-10,2020-07-10,2748.10625
MW1,2020-07-11,2020-07-11,2748.097875
MW1,2020-07-12,2020-07-12,2748.0905625
MW1,2020-07-13,2020-07-13,2748.083833333333
MW1,2020-07-14,2020-07-14,2748.0783333333334
MW1,2020-07-15,2020-07-15,2748.0711458333335
MW1,2020-07-16,2020-07-16,2748.0616458333334
MW1,2020-07-17,2020-07-17,2748.0518125
MW1,2020-07-18,2020-07-18,2748.0420416666666
MW1,2020-07-19,2020-07-19,2748.033229166667
MW1,2020-07-20,2020-07-20,2748.0210833333335
MW1,2020-07-21,2020-07-21,2748.0119791666666
MW1,2020-07-22,2020-07-22,2748.0026041666665
MW1,2020-07-23,2020-07-23,2747.9929583333333
MW1,2020-07-24,2020-07-24,2747.9853958333333
MW1,2020-07-25,2020-07-25,2747.9744791666667
MW1,2020-07-26,2020-07-26,2747.9627291666666
MW1,2020-07-27,2020-07-27,2747.9536041666665
MW1,2020-07-28,2020-07-28,2747.946125
MW1,2020-07-29,2020-07-29,2747.9365208333334
MW1,2020-07-30,2020-07-30,2747.9251041666666
MW1,2020-07-31,2020-07-31,2747.9165416666665
MW1,2020-08-01,2020-08-01,2747.9102708333335
MW1,2020-08-02,2020-08-02,2747.903729166667
MW1,2020-08-03,2020-08-03,2747.894083333333
MW1,2020-08-04,2020-08-04,2747.8845625
MW1,2020-08-05,2020-08-05,2747.875791666667
MW1,2020-08-06,2020-08-06,2747.8670208333333
MW1,2020-08-07,2020-08-07,2747.8594285714285
MW1,2020-08-08,2020-08-08,2747.844
MW1,2020-08-09,2020-08-09,2747.8349166666667
MW1,2020-08-10,2020-08-10,2747.8261875000003
MW1,2020-08-11,2020-08-11,2747.8178333333335
MW1,2020-08-12,2020-08-12,2747.8084791666665
MW1,2020-08-13,2020-08-13,2747.8002083333336
MW1,2020-08-14,2020-08-14,2747.7906666666668
MW1,2020-08-15,2020-08-15,2747.7816041666665
MW1,2020-08-16,2020-08-16,2747.7740208333335
MW1,2020-08-17,2020-08-17,2747.767875
MW1,2020-08-18,2020-08-18,2747.7616666666668
MW1,2020-08-19,2020-08-19,2747.7565833333333
MW1,2020-08-20,2020-08-20,2747.7505625
MW1,2020-08-21,2020-08-21,2747.7438958333332
MW1,2020-08-22,2020-08-22,2747.7368541666665
MW1,2020-08-23,2020-08-23,2747.7305625
MW1,2020-08-24,2020-08-24,2747.7249583333332
MW1,2020-08-25,2020-08-25,2747.719375
MW1,2020-08-26,2020-08-26,2747.7155625
MW1,2020-08-27,2020-08-27,2747.7114166666665
MW1,2020-08-28,2020-08-28,2747.707354166667
MW1,2020-08-29,2020-08-29,2747.7077083333334
MW1,2020-08-30,2020-08-30,2747.7046875
MW1,2020-08-31,2020-08-31,2747.697958333333
MW1,2020-09-01,2020-09-01,2747.6944791666665
MW1,2020-09-02,2020-09-02,2747.690291666667
MW1,2020-09-03,2020-09-03,2747.6852708333336
MW1,2020-09-04,2020-09-04,2747.680895833333
MW1,2020-09-05,2020-09-05,2747.6789375
MW1,2020-09-06,2020-09-06,2747.6772291666666
MW1,2020-09-07,2020-09-07,2747.6758333333332
MW1,2020-09-08,2020-09-08,2747.668
MW1,2020-09-09,2020-09-09,2747.6671458333335
MW1,2020-09-10,2020-09-10,2747.6729791666667
MW1,2020-09-11,2020-09-11,2747.680375
MW1,2020-09-12,2020-09-12,2747.678104166667
MW1,2020-09-13,2020-09-13,2747.675333333333
MW1,2020-09-14,2020-09-14,2747.6726458333333
MW1,2020-09-15,2020-09-15,2747.6697291666665
MW1,2020-09-16,2020-09-16,2747.664875
MW1,2020-09-17,2020-09-17,2747.661916666667
MW1,2020-09-18,2020-09-18,2747.659541666667
MW1,2020-09-19,2020-09-19,2747.6572916666664
MW1,2020-09-20,2020-09-20,2747.6517291666664
MW1,2020-09-21,2020-09-21,2747.647645833333
MW1,2020-09-22,2020-09-22,2747.644895833333
MW1,2020-09-23,2020-09-23,2747.642125
MW1,2020-09-24,2020-09-24,2747.6401458333335
MW1,2020-09-25,2020-09-25,2747.6369791666666
MW1,2020-09-26,2020-09-26,2747.633375
MW1,2020-09-27,2020-09-27,2747.6270208333335
MW1,2020-09-28,2020-09-28,2747.6231666666667
MW1,2020-09-29,2020-09-29,2747.6229791666665
MW1,2020-09-30,2020-09-30,2747.618520833333
MW1,2020-10-01,2020-10-01,2747.6144583333335
MW1,2020-10-02,2020-10-02,2747.6144375
MW1,2020-10-03,2020-10-03,2747.6081875
MW1,2020-10-04,2020-10-04,2747.608166666667
MW1,2020-10-05,2020-10-05,2747.6032708333332
MW1,2020-10-06,2020-10-06,2747.6007291666665
MW1,2020-10-07,2020-10-07,2747.5972916666665
MW1,2020-10-08,2020-10-08,2747.5944583333335
MW1,2020-10-09,2020-10-09,2747.5906666666665
MW1,2020-10-10,2020-10-10,2747.5885208333334
MW1,2020-10-11,2020-10-11,2747.5835
MW1,2020-10-12,2020-10-12,2747.5804583333334
MW1,2020-10-13,2020-10-13,2747.58025
MW1,2020-10-14,2020-10-14,2747.575875
MW1,2020-10-15,2020-10-15,2747.5691458333336
MW1,2020-10-16,2020-10-16,2747.5691666666667
MW1,2020-10-17,2020-10-17,2747.5644375
MW1,2020-10-18,2020-10-18,2747.5632083333335
MW1,2020-10-19,2020-10-19,2747.5609583333335
MW1,2020-10-20,2020-10-20,2747.5574166666665
MW1,2020-10-21,2020-10-21,2747.5577916666666
MW1,2020-10-22,2020-10-22,2747.5491875
MW1,2020-10-23,2020-10-23,2747.5432083333335
MW1,2020-10-24,2020-10-24,2747.5475833333335
MW1,2020-10-25,2020-10-25,2747.511125
MW1,2020-10-26,2020-10-26,2747.5085833333333
MW1,2020-10-27,2020-10-27,2747.5302916666665
MW1,2020-10-28,2020-10-28,2747.544479166667
MW1,2020-10-29,2020-10-29,2747.544935483871
MW1,2020-10-30,2020-10-30,2747.54725
MW1,2020-10-31,2020-10-31,2747.5425833333334
MW1,2020-11-01,2020-11-01,2747.539979166667
MW1,2020-11-02,2020-11-02,2747.5396875
MW1,2020-11-03,2020-11-03,2747.5400416666666
MW1,2020-11-04,2020-11-04,2747.5392083333336
MW1,2020-11-05,2020-11-05,2747.5386458333332
MW1,2020-11-06,2020-11-06,2747.537222222222
MW1,2020-11-07,2020-11-07,2747.528729166667
MW1,2020-11-08,2020-11-08,2747.5248333333334
MW1,2020-11-09,2020-11-09,2747.5123333333336
MW1,2020-11-10,2020-11-10,2747.5069375
MW1,2020-11-11,2020-11-11,2747.505166666667
MW1,2020-11-12,2020-11-12,2747.5059166666665
MW1,2020-11-13,2020-11-13,2747.5190625
MW1,2020-11-14,2020-11-14,2747.5102708333334
MW1,2020-11-15,2020-11-15,2747.5155833333333
MW1,2020-11-16,2020-11-16,2747.516875
MW1,2020-11-17,2020-11-17,2747.5149791666668
MW1,2020-11-18,2020-11-18,2747.5160625
MW1,2020-11-19,2020-11-19,2747.5090416666667
MW1,2020-11-20,2020-11-20,2747.5026041666665
MW1,2020-11-21,2020-11-21,2747.5025
MW1,2020-11-22,2020-11-22,2747.5036041666667
MW1,2020-11-23,2020-11-23,2747.5084166666666
MW1,2020-11-24,2020-11-24,2747.4995625
MW1,2020-11-25,2020-11-25,2747.501208333333
MW1,2020-11-26,2020-11-26,2747.494958333333
MW1,2020-11-27,2020-11-27,2747.4932708333336
MW1,2020-11-28,2020-11-28,2747.494833333333
MW1,2020-11-29,2020-11-29,2747.4883125
MW1,2020-11-30,2020-11-30,2747.4979583333334
MW1,2020-12-01,2020-12-01,2747.490479166667
MW1,2020-12-02,2020-12-02,2747.4720208333333
MW1,2020-12-03,2020-12-03,2747.4745416666665
MW1,2020-12-04,2020-12-04,2747.4836041666667
MW1,2020-12-05,2020-12-05,2747.4845
MW1,2020-12-06,2020-12-06,2747.4884375
MW1,2020-12-07,2020-12-07,2747.4785625
MW1,2020-12-08,2020-12-08,2747.4876458333333
MW1,2020-12-09,2020-12-09,2747.4874791666666
MW1,2020-12-10,2020-12-10,2747.4814375
MW1,2020-12-11,2020-12-11,2747.4722708333334
MW1,2020-12-12,2020-12-12,2747.46875
MW1,2020-12-13,2020-12-13,2747.4624166666667
MW1,2020-12-14,2020-12-14,2747.4763333333335
MW1,2020-12-15,2020-12-15,2747.4646666666667
